,España,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,latitude,longitude
3,Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),0.0,0.0
4,Estaca de Bares,A Coruña,10.0 (08:20),6.4 (12:40),8.2,68 (12:40),53 (02:00),5.8,1,1.6,3.2,0,43.7903123,-7.6882854
5,Ferrol,A Coruña,9.6 (12:30),4.2 (09:50),6.9,44 (14:00),19 (17:00),14.7,1.9,8.6,1.5,2.7,43.4846862,-8.233162
7,A Coruña,A Coruña,9.8 (12:20),6.0 (08:00),7.9,61 (14:20),33 (14:20),12,6.8,0.6,1.6,3,43.365833333333335,-8.421388888888888
8,A Coruña Aeropuerto,A Coruña,9.1 (12:30),3.3 (09:30),6.2,54 (13:00),30 (13:00),14.9,5.8,4.6,2.3,2.2,43.300259499999996,-8.379608542189715
10,Cabo Vilan,A Coruña,9.9 (13:30),5.3 (04:30),7.6,82 (15:30),60 (15:30),5.1,1.5,1.2,0.7,1.7,43.3719352,-8.3998284
12,Fisterra,A Coruña,8.7 (10:50),5.0 (23:50),6.8,90 (15:50),52 (15:50),2.8,1,0.2,0.8,0.8,42.9064771,-9.263789
15,Santiago de Compostela Aeropuerto,A Coruña,5.9 (12:40),1.1 (04:30),3.5,35 (11:00),19 (14:00),13.8,1.1,4.7,5.8,2.2,42.89764215,-8.41891330714926
16,Noia,A Coruña,7.5 (14:00),2.6 (07:00),5,24 (16:20),5 (16:20),11.6,2.6,2,3.2,3.8,42.7850763,-8.8877375
19,Padrón,A Coruña,8.7 (14:40),1.8 (04:40),5.2,36 (15:50),19 (15:50),18.1,3,3.1,5.9,6.1,42.7510147,-8.6292056
20,Santiago de Compostela,A Coruña,6.6 (14:30),2.4 (03:50),4.5,27 (11:20),7 (15:20),16.7,2.3,2.9,7,4.5,42.8804219,-8.5458608
22,Ossa de Montiel,Albacete,5.2 (14:40),-1.0 (23:59),2.1,46 (02:10),20 (00:30),15,2.8,5.2,7,0,38.9625266,-2.7453748
23,Villarrobledo,Albacete,8.5 (15:40),0.2 (02:40),4.4,42 (13:10),28 (14:10),7.8,2.4,5.4,0,0,39.2681742,-2.6042132
24,Munera,Albacete,4.6 (15:40),-0.4 (23:40),2.1,32 (14:10),15 (15:50),10.6,3.4,1.4,5.8,0,39.0417625,-2.4800931
27,Hellín,Albacete,7.3 (15:50),1.4 (21:00),4.4,55 (18:10),33 (18:40),10.3,5.6,3.3,0,1.4,38.5106649,-1.6995137
28,Albacete Base Aérea,Albacete,6.2 (15:00),0.3 (04:10),3.2,55 (15:20),41 (15:10),3.6,2.4,0.4,0,0.8,38.9472217,-1.8614864538414657
29,Chinchilla,Albacete,2.5 (15:40),-1.6 (04:30),0.4,51 (10:00),32 (15:00),3.1,1.8,1.3,0,0,-26.750100500000002,150.6228555674773
30,Albacete,Albacete,6.8 (15:10),0.8 (04:10),3.8,47 (15:10),16 (14:30),3.6,2.8,0,0,0.8,38.9950921,-1.8559154
31,Alcalá del Júcar,Albacete,6.9 (14:10),0.3 (23:10),3.6,46 (12:00),26 (12:00),1,1,0,0,0,39.1928901,-1.4289945
32,Almansa,Albacete,6.8 (14:40),0.8 (21:50),3.8,44 (14:10),21 (17:00),2.4,2.4,0,0,0,38.8682065,-1.0978627
33,Orihuela,Alacant/Alicante,13.0 (15:20),3.0 (01:10),8,64 (13:40),32 (16:00),0,0,0,0,0,38.0856891,-0.9448805
34,Pinoso,Alacant/Alicante,9.2 (15:30),2.7 (23:40),5.9,54 (14:20),26 (14:20),0,0,0,0,0,38.4021056,-1.041617
35,Rojales,Alacant/Alicante,13.2 (15:00),6.2 (03:50),9.7,65 (15:10),39 (13:40),0.2,0,0.2,0,0,38.0871747,-0.7228213
39,Alicante-Elche Aeropuerto,Alacant/Alicante,13.4 (15:30),4.5 (02:00),8.9,72 (11:20),53 (11:20),0,0,0,0,0,38.284417700000006,-0.5657529081106044
40,Alicante/Alacant,Alacant/Alicante,14.7 (14:00),6.6 (05:00),10.6,49 (11:10),23 (11:40),0,0,0,0,0,38.3436365,-0.4881708
41,Benidorm,Alacant/Alicante,15.5 (15:30),5.5 (23:59),10.5,40 (17:30),14 (12:40),0,0,0,0,0,38.5406255,-0.1290929
42,Jávea/ Xàbia,Alacant/Alicante,15.1 (15:50),7.5 (00:00),11.3,64 (10:30),38 (10:20),0.2,0,0.2,0,0,38.7893909,0.1633256
43,Alcoy/Alcoi,Alacant/Alicante,9.8 (15:20),4.1 (23:30),7,46 (10:20),22 (09:40),0.2,0.2,0,0,0,38.6982275,-0.4747767
45,Adra,Almería,15.1 (10:10),10.2 (23:00),12.7,66 (13:10),40 (14:00),0,0,0,0,0,36.748834,-3.0203617
47,Roquetas de Mar,Almería,15.5 (17:00),4.9 (02:20),10.2,76 (08:30),48 (05:00),0,0,0,0,0,36.7630203,-2.6115886
48,Abla,Almería,9.0 (14:10),2.6 (09:00),5.8,38 (13:40),21 (13:40),0.4,0,0.3,0.1,0,37.1416926,-2.7792318
49,Láujar de Andarax,Almería,5.7 (14:20),-1.6 (21:00),2,85 (07:20),62 (07:20),0,0,0,0,0,36.9939431,-2.8898117
50,Almería Aeropuerto,Almería,16.6 (15:20),6.7 (04:00),11.7,68 (12:40),50 (12:40),0,0,0,0,0,36.8497957,-2.3714166
52,"Garrucha, Puerto",Almería,13.9 (15:00),7.6 (05:10),10.7,63 (11:10),40 (16:30),0,0,0,0,0,37.1882116,-1.8193709
53,Albox,Almería,9.9 (13:50),4.9 (21:00),7.4,79 (12:00),58 (12:00),0,0,0,0,0,37.3880282,-2.1455544
54,Huércal-Overa,Almería,11.7 (15:30),3.1 (04:10),7.4,58 (05:30),34 (16:10),0,0,0,0,0,37.3895979,-1.9450652
56,Amurrio,Araba/Álava,8.5 (12:10),1.9 (23:59),5.2,42 (13:10),14 (13:10),13.8,1.6,2.6,2.4,7.2,43.0510034,-2.9997847
57,Lalastra,Araba/Álava,1.5 (13:20),-2.5 (20:20),-0.5,40 (15:20),24 (15:30),1.8,0,0.8,1,0,42.8758198,-3.229998
58,Agurain/Salvatierra,Araba/Álava,5.3 (13:40),-0.5 (23:30),2.4,38 (14:10),22 (16:40),5.2,0.4,0.4,0.6,3.8,42.8492823,-2.3890592
59,Vitoria Gasteiz Aeropuerto,Araba/Álava,6.4 (12:50),-0.1 (23:50),3.2,42 (20:40),23 (13:40),6.1,0,1.1,0,5,42.8835516,-2.7314788
60,Labastida,Araba/Álava,5.6 (13:10),-0.1 (23:10),2.7,33 (16:10),15 (16:20),0.6,0,0,0,0.6,42.5903817,-2.7928698
63,Cabrales,Asturias,3.3 (15:10),0.5 (07:50),1.9,56 (18:10),37 (18:10),11.4,1,3.6,4.4,2.4,43.2678898,-4.8266084018751805
64,Llanes,Asturias,9.1 (22:20),5.4 (16:30),7.3,66 (15:40),40 (15:40),9,1.4,4.2,3.2,0.2,43.4211205,-4.7530835
66,"Piloña, Bargaéu",Asturias,4.5 (14:10),0.9 (22:30),2.7,33 (10:40),15 (10:40),18.2,5.2,8.8,3.8,0.4,43.3772227,-5.3964516
67,Colunga,Asturias,8.7 (14:20),4.2 (05:00),6.4,38 (15:00),22 (10:50),14.2,4.8,6,2,1.4,43.4851194,-5.2706728
68,"Gijón, Campus",Asturias,8.6 (13:50),3.4 (21:50),6,52 (13:50),27 (16:10),16.6,4,10.8,1.6,0.2,43.5261545,-5.6266228
70,Asturias Aeropuerto,Asturias,8.5 (13:20),3.6 (23:20),6,54 (09:50),31 (09:20),12.9,6.7,2.4,2.6,1.2,43.56161899999999,-6.030909804909283
71,Pajares-Valgrande,Asturias,-3.2 (13:20),-5.3 (19:50),-4.3,22 (00:40),10 (00:20),27.3,6.1,4.5,9.4,7.3,42.97931415,-5.774313024299615
72,"Lena, Ronzón",Asturias,4.3 (15:00),0.6 (02:30),2.5,33 (16:00),17 (16:00),13.6,3,4.4,3.6,2.6,43.1288313,-5.8226107
73,"Aller, Felechosa",Asturias,1.0 (15:10),-0.5 (21:00),0.3,23 (17:20),15 (18:30),29.8,7,4.2,12,6.6,43.1034069,-5.5080515
74,"Mieres, Baiña",Asturias,6.3 (14:50),1.7 (23:59),4,29 (15:20),10 (16:10),12.8,4.4,2.6,4.2,1.6,43.2750963,-5.8304436
75,Oviedo,Asturias,5.0 (14:50),1.5 (23:40),3.3,44 (11:50),22 (10:10),13.2,4.6,3.2,4.2,1.2,43.3604218,-5.8450534
77,Pola de Somiedo,Asturias,2.7 (14:00),-0.1 (03:00),1.3,33 (15:20),14 (15:20),19.2,6,5.8,2.8,4.6,43.0931497,-6.2572508
81,"Ibias, San Antolin",Asturias,0.9 (16:20),-0.4 (23:20),0.2,33 (06:30),21 (06:30),11.8,3,1.8,5.6,1.4,43.0386265,-6.8723938
82,"Villayón, Oneta",Asturias,5.0 (15:20),0.6 (04:40),2.8,59 (17:10),37 (17:10),10.2,4.8,3.2,1.2,1,43.4645551,-6.6677576
83,Castropol,Asturias,10.1 (16:30),3.2 (08:00),6.7,37 (09:20),18 (09:30),17.4,9.6,6.9,0.8,0.1,43.5276581,-7.0300508
84,"Taramundi, Ouria",Asturias,5.8 (16:10),0.9 (06:50),3.4,26 (16:20),17 (16:20),12.2,5,2.6,1.6,3,43.4035716,-7.0596486
86,Muñotello,Ávila,0.9 (15:50),-2.0 (09:20),-0.6,51 (21:30),32 (21:30),1.4,0.2,0.6,0.6,0,40.5418131,-5.0414952
87,Ávila,Ávila,2.1 (16:00),-2.6 (09:20),-0.3,56 (20:40),28 (20:40),0.6,0.6,0,0,0,40.656478,-4.7002172
88,Gotarrendura,Ávila,3.4 (15:50),-1.8 (23:59),0.8,45 (16:00),35 (16:00),0,0,0,0,0,40.8264524,-4.7409463
89,Arevalo,Ávila,4.5 (15:30),-1.4 (23:59),1.6,35 (14:00),23 (16:20),0,0,0,0,0,41.0632758,-4.7198921
90,Rivilla de Barajas,Ávila,3.1 (16:20),-1.8 (23:50),0.6,40 (12:40),32 (12:40),0.4,0.4,0,0,0,40.9019309,-4.9882631
91,Barco de Avila,Ávila,3.0 (15:40),-1.0 (09:20),1,31 (04:20),16 (00:20),1.4,1.2,0.2,0,0,-38.7287339,-72.6291008
92,Puerto El Pico,Ávila,1.3 (12:20),-3.3 (10:00),-1,40 (15:40),24 (22:30),0.4,0.4,0,0,0,18.1369041,-66.3310027
94,Candeleda,Ávila,10.4 (15:10),1.5 (06:40),5.9,46 (16:40),30 (16:40),0.6,0.6,0,0,0,40.1557248,-5.2409617
95,Herrera del Duque,Badajoz,8.8 (14:30),2.2 (09:00),5.5,39 (03:50),23 (14:10),0.4,0.4,0,0,0,39.1676109,-5.0504659
96,Peraleda del Zaucejo,Badajoz,7.7 (14:20),2.6 (08:50),5.1,49 (02:20),32 (00:40),0.2,0.2,0,0,0,38.4741788,-5.5645445
97,Castuera,Badajoz,8.0 (15:10),1.5 (09:00),4.8,33 (02:00),21 (02:40),0,0,0,0,0,38.7251978,-5.5460224
98,Navalvillar de Pela,Badajoz,9.3 (14:10),2.7 (08:40),6,39 (23:20),24 (11:30),0,0,0,0,0,39.0916315,-5.4681268
99,Don Benito,Badajoz,10.7 (16:30),2.8 (08:50),6.7,28 (16:40),15 (16:30),0,0,0,0,0,38.9540269,-5.8619466
100,Llerena,Badajoz,7.7 (14:30),1.1 (08:30),4.4,46 (15:00),33 (15:00),0,0,0,0,0,38.2378976,-6.0149901
101,Villafranca de los Barros,Badajoz,8.9 (14:50),2.2 (08:40),5.5,45 (16:20),33 (16:40),0,0,0,0,0,38.5613352,-6.3392388
102,Mérida,Badajoz,11.3 (15:40),1.2 (23:59),6.3,30 (15:30),22 (15:40),0,0,0,0,0,38.9174665,-6.3443977
103,Zafra,Badajoz,9.1 (14:20),0.7 (23:59),4.9,42 (14:30),28 (14:10),0,0,0,0,0,38.4253489,-6.4193627
104,Almendralejo,Badajoz,9.4 (14:20),2.1 (08:40),5.7,45 (16:40),31 (15:30),0,0,0,0,0,38.6846791,-6.4067802
105,Badajoz Aeropuerto,Badajoz,11.1 (13:50),3.2 (09:10),7.2,35 (15:30),25 (15:30),0,0,0,0,0,38.8940303,-6.8190007
106,Alburquerque,Badajoz,10.2 (14:50),-0.8 (09:00),4.7,31 (14:20),16 (15:00),0,0,0,0,0,39.2190169,-6.9999295
107,Puebla de Obando,Badajoz,9.2 (13:30),1.6 (07:50),5.4,37 (13:50),25 (14:30),0,0,0,0,0,39.1768491,-6.6260009
108,Badajoz,Badajoz,10.5 (15:30),3.1 (09:20),6.8,40 (13:30),23 (13:30),0,0,0,0,0,38.88964355,-6.980142450723942
109,Olivenza,Badajoz,9.9 (14:00),2.9 (09:00),6.4,33 (14:20),21 (15:30),0,0,0,0,0,38.6196766,-7.1341344109916776
111,Barcarrota,Badajoz,8.9 (14:20),0.7 (08:20),4.8,37 (14:50),20 (16:40),0.2,0.2,0,0,0,38.5159459,-6.8492865
113,Monesterio,Badajoz,5.8 (14:50),0.9 (23:59),3.4,42 (07:40),24 (07:40),0.4,0.4,0,0,0,38.0876314,-6.2732538
114,Fuente de Cantos,Badajoz,7.5 (14:10),0.6 (23:10),4.1,48 (14:30),36 (14:50),1.6,1.6,0,0,0,38.2461377,-6.3074274
115,Jerez de los Caballeros,Badajoz,9.3 (14:10),2.8 (23:59),6.1,47 (16:20),30 (15:20),0.4,0.4,0,0,0,38.3201991,-6.7713389
116,Fregenal de la Sierra,Badajoz,7.7 (13:20),1.4 (23:40),4.5,44 (04:30),23 (05:10),0,0,0,0,0,38.1663968,-6.6525749
117,Azuaga,Badajoz,8.1 (16:20),1.4 (23:59),4.8,47 (06:10),32 (05:10),0.2,0,0.2,0,0,38.2592148,-5.6768563
118,Pontons,Barcelona,5.7 (11:50),1.8 (23:59),3.7,49 (22:40),29 (22:40),0.4,0,0,0.4,0,41.4138036,1.5140429
119,Vilafranca del Penedès,Barcelona,8.1 (15:10),1.8 (05:10),5,23 (18:50),12 (11:50),0,0,0,0,0,41.3463825,1.6995213
120,Sitges,Barcelona,9.2 (11:10),4.9 (22:00),7,27 (06:20),14 (07:20),0.8,0,0.2,0.6,0,41.2366707,1.8228136
121,Barcelona Aeropuerto,Barcelona,9.3 (00:00),5.3 (05:20),7.3,30 (09:40),22 (09:40),10,0,7.5,2.5,0,10.1006137,-64.6990443
122,Berga,Barcelona,6.5 (14:20),-0.7 (04:50),2.9,29 (16:50),21 (16:50),1.6,0,0.2,1,0.4,42.1011456,1.8454758
123,Balsareny,Barcelona,7.0 (15:40),-1.6 (07:20),2.7,22 (15:50),10 (14:10),0,0,0,0,0,41.8631839,1.8755997
124,Prats de Lluçanès,Barcelona,5.9 (14:40),-2.1 (04:30),1.9,23 (18:00),16 (17:20),0,0,0,0,0,42.0085421,2.0298689
126,Manresa,Barcelona,7.9 (15:50),0.5 (09:10),4.2,27 (16:20),16 (16:20),0,0,0,0,0,41.7288939,1.8286765
128,Igualada,Barcelona,8.5 (12:50),3.6 (20:50),6,21 (15:00),9 (14:00),0.9,0,0.9,0,0,41.5790182,1.617346
130,Barcelona,Barcelona,10.6 (00:30),6.6 (07:50),8.6,40 (11:00),27 (10:50),0,0,0,0,0,41.3828939,2.1774322
132,Caldes de Montbui,Barcelona,8.2 (15:40),1.7 (05:30),4.9,32 (23:20),20 (23:20),0,0,0,0,0,41.632265,2.1676442
133,Arenys de Mar,Barcelona,10.6 (14:00),4.6 (06:10),7.6,25 (09:10),10 (09:40),0,0,0,0,0,41.5797031,2.5491562
134,Santa Susanna,Barcelona,9.4 (14:40),0.8 (05:30),5.1,23 (11:40),12 (10:00),0,0,0,0,0,41.6357256,2.7065933
136,Tona,Barcelona,6.5 (16:00),-1.5 (07:30),2.5,26 (17:20),13 (17:20),0,0,0,0,0,41.8538039,2.2280115
137,Sant Julià  de Vilatorta,Barcelona,5.9 (16:00),-2.4 (08:00),1.8,16 (18:10),6 (18:10),0,0,0,0,0,41.9219404,2.3240651
138,Forua,Bizkaia,7.6 (12:00),3.7 (23:30),5.6,46 (21:50),27 (03:20),24.2,5,2.4,6.8,10,43.3329632,-2.6761163
139,Machichaco,Bizkaia,7.5 (19:20),4.5 (07:20),6,96 (21:40),76 (21:40),13.4,4.6,2,3.6,3.2,43.45914085,-3.808027573835819
140,Punta Galea,Bizkaia,11.2 (11:50),5.4 (08:10),8.3,60 (21:00),34 (23:59),14.4,4.6,1.6,2,6.2,40.53751055,-3.8965767271791
141,Orozko,Bizkaia,7.4 (12:40),0.2 (23:59),3.8,29 (15:30),12 (21:40),13,1.6,2,3,6.4,43.1068473,-2.9120602
143,Amorebieta--Etxano,Bizkaia,7.9 (12:40),1.8 (23:50),4.9,38 (22:30),21 (22:30),16.4,1.2,1.8,2.2,11.2,43.2201761,-2.7323154
145,Bilbao Aeropuerto,Bizkaia,8.1 (11:40),3.9 (22:20),6,59 (23:40),40 (23:50),13,2.7,1.3,1.1,7.9,43.30496585,-2.906231118340643
146,Sopuerta,Bizkaia,7.2 (12:00),1.4 (07:30),4.3,45 (22:40),20 (16:50),35.6,5.2,5.8,9.4,15.2,43.25481955,-3.170368427909917
147,Coruña del Conde,Burgos,2.3 (16:20),-1.9 (08:40),0.2,41 (17:10),22 (16:20),1.2,0,0.8,0.4,0,41.7657004,-3.3905895
148,Aranda de Duero,Burgos,4.0 (15:20),-1.4 (21:10),1.3,44 (17:30),21 (14:10),0.2,0,0,0.2,0,41.6715067,-3.6851172
149,Pedrosa del Príncipe,Burgos,4.2 (13:20),-2.8 (23:59),0.7,37 (15:40),21 (13:30),0,0,0,0,0,42.2496567,-4.1992265
150,Palacios de la Sierra,Burgos,0.6 (14:20),-3.2 (22:20),-1.3,43 (18:00),24 (22:00),2.8,1.8,0.2,0.8,0,41.9639356,-3.1282384
151,Monterrubio de la Demanda,Burgos,-0.2 (00:00),-4.1 (09:20),-2.1,0 (00:10),0 (00:10),0,0,0,0,0,42.1491104,-3.1131226
152,Villamayor de los Montes,Burgos,2.7 (14:20),-2.3 (23:59),0.2,36 (15:30),21 (15:30),0.4,0,0,0.4,0,42.1059603,-3.76587
153,Burgos Aeropuerto,Burgos,3.1 (13:40),-3.9 (08:40),-0.4,39 (15:20),27 (14:10),0.6,0,0,0.6,0,42.357639500000005,-3.6215852140884204
156,Briviesca,Burgos,3.8 (14:00),-1.2 (23:40),1.3,39 (13:40),24 (13:30),0.2,0.2,0,0,0,42.549796,-3.3218059
157,Medina de Pomar,Burgos,5.4 (11:40),-0.1 (08:10),2.7,37 (17:40),18 (15:20),6.2,0.2,0,1.2,4.8,42.9322092,-3.4861165
158,Miranda de Ebro,Burgos,6.9 (15:30),0.5 (23:10),3.7,43 (16:00),25 (16:00),0,0,0,0,0,42.6855632,-2.9478451
160,Navalvillar de Ibor,Cáceres,4.0 (14:10),-0.6 (10:30),1.7,33 (15:10),14 (15:00),0.6,0,0,0.4,0.2,39.5849648,-5.4130536
161,Madrigal de la Vera,Cáceres,10.1 (15:10),3.2 (05:10),6.7,37 (06:10),13 (11:40),0.8,0.8,0,0,0,40.1466193,-5.3673231
162,Navalmoral de la Mata,Cáceres,10.8 (13:50),1.2 (08:10),6,52 (14:50),28 (16:00),0.2,0,0.2,0,0,39.8928306,-5.5401199
163,Garganta la Olla,Cáceres,6.7 (13:00),2.5 (08:50),4.6,65 (00:20),41 (07:00),0.8,0.8,0,0,0,40.1112342,-5.7762332
165,Jaraicejo,Cáceres,7.3 (14:00),0.6 (23:30),4,33 (17:00),19 (06:40),0.2,0,0,0.2,0,39.6669756,-5.8135394
166,Cáceres,Cáceres,9.3 (16:20),3.1 (07:50),6.2,33 (02:00),21 (02:30),0,0,0,0,0,39.4020024,-6.454580525853476
167,Cañaveral,Cáceres,9.8 (15:00),3.5 (09:00),6.7,45 (02:20),32 (02:20),0,0,0,0,0,39.7897226,-6.3933113
168,Nuñomoral,Cáceres,7.0 (16:00),2.2 (09:00),4.6,34 (15:30),17 (02:50),0.2,0.2,0,0,0,40.4091367,-6.2445107
169,Guijo de Granadilla,Cáceres,8.2 (16:20),2.8 (09:30),5.5,27 (08:10),13 (07:10),0.2,0,0,0.2,0,40.1937514,-6.163317
170,Hervás,Cáceres,4.7 (11:40),0.3 (10:20),2.5,31 (22:30),14 (22:30),0,0,0,0,0,40.2738554,-5.8587431
171,Montehermoso,Cáceres,9.0 (15:40),2.0 (07:30),5.5,34 (04:30),23 (04:20),0,0,0,0,0,40.0883757,-6.3495966
172,Tornavacas,Cáceres,3.9 (15:40),0.1 (10:00),2,40 (05:30),24 (05:30),0.4,0.4,0,0,0,40.2556866,-5.6885137
173,Piornal,Cáceres,1.2 (16:00),-2.9 (08:20),-0.9,51 (22:50),30 (05:50),2.2,0.2,1,1,0,40.1177645,-5.8485639
174,Plasencia,Cáceres,7.9 (16:50),2.4 (23:30),5.2,28 (09:40),11 (09:40),0,0,0,0,0,40.029921,-6.090168
175,Coria,Cáceres,9.8 (16:00),1.9 (08:00),5.9,34 (12:50),24 (13:00),0,0,0,0,0,39.9831574,-6.5366803
176,Hoyos,Cáceres,8.8 (13:30),0.1 (08:10),4.5,54 (04:30),24 (04:20),0,0,0,0,0,40.1707784,-6.7212412
177,Zarza La Mayor,Cáceres,10.7 (14:50),2.5 (08:00),6.6,32 (13:10),21 (16:20),0,0,0,0,0,39.87819065,-6.861739797362906
178,Valverde del Fresno,Cáceres,8.5 (12:40),2.6 (09:00),5.5,45 (03:50),20 (03:50),0,0,0,0,0,40.2241479,-6.8781742
179,Aliseda,Cáceres,9.3 (13:10),2.1 (08:30),5.7,35 (13:50),19 (13:20),0,0,0,0,0,39.4224611,-6.6918971
180,Brozas,Cáceres,8.9 (15:50),0.2 (08:30),4.5,37 (14:40),28 (14:20),0,0,0,0,0,39.6111187,-6.7782723
181,Valencia de Alcántara,Cáceres,8.0 (16:20),3.0 (08:00),5.5,39 (13:00),24 (15:00),0,0,0,0,0,39.4131571,-7.2420859
182,Guadalupe,Cáceres,8.0 (13:00),1.2 (08:50),4.6,38 (06:50),20 (06:20),0.2,0.2,0,0,0,29.6480061,-97.8279576
183,Cañamero,Cáceres,7.1 (14:40),2.0 (08:50),4.5,53 (06:10),22 (06:10),0.2,0.2,0,0,0,39.3801055,-5.3892464
184,Zorita,Cáceres,8.6 (14:10),1.7 (08:30),5.2,42 (07:20),30 (07:20),0,0,0,0,0,39.2841602,-5.6989098
185,Alcuescar,Cáceres,8.7 (14:50),0.9 (08:50),4.8,33 (15:40),20 (13:40),0,0,0,0,0,39.1801212,-6.2284451
186,Chipiona,Cádiz,13.7 (15:20),9.8 (23:59),11.8,43 (00:50),24 (00:50),1.2,1.2,0,0,0,36.7355451,-6.4348221
188,Grazalema,Cádiz,6.7 (14:10),2.5 (08:40),4.6,38 (05:10),15 (07:50),10.3,10.2,0,0,0.1,36.7583892,-5.366074
189,Olvera,Cádiz,9.4 (15:20),3.9 (09:20),6.6,40 (01:30),22 (01:30),2.6,2,0,0,0.6,36.9342358,-5.258998
190,El Bosque,Cádiz,10.3 (14:30),5.5 (23:59),7.9,26 (04:40),10 (04:40),3.8,3.6,0.2,0,0,17.0247264,-92.74723009318356
191,San José del Valle,Cádiz,12.8 (16:00),5.8 (08:50),9.3,22 (13:00),9 (12:40),2.4,2.4,0,0,0,36.6062584,-5.7997029
192,Jerez de la Frontera Aeropuerto,Cádiz,13.7 (15:30),5.1 (23:50),9.4,37 (11:30),26 (11:30),3,3,0,0,0,36.7506295,-6.0643996
193,San Fernando,Cádiz,13.5 (01:10),9.5 (18:40),11.5,45 (18:30),25 (08:50),3.8,2.7,0,0,1.1,36.4643934,-6.198203
194,Cádiz,Cádiz,14.5 (01:20),10.8 (18:40),12.7,46 (02:50),29 (01:40),2.4,1.8,0,0,0.6,36.5297438,-6.2928976
195,Medina Sidonia,Cádiz,12.2 (14:40),6.4 (01:40),9.3,40 (13:00),26 (12:30),3,3,0,0,0,36.4576714,-5.9272725
196,Vejer de la Frontera,Cádiz,11.6 (02:30),7.4 (23:59),9.5,45 (02:20),19 (15:00),4.1,2.5,0,0,1.6,36.251937,-5.9670492
